Voltage,constant Z Load,constant Z Load - real power P,constant I Load,constant I Load - real power P,constant P Load,constant P Load - real power P
0.8462462462462463,(0.9090909090909092-0.09090909090909093j),(1432.2654185717251+0j),(1.0742628556681075-0.10742628556681075j),(1692.4924924924926+0j),(1.2694447513750167-0.12694447513750165j),(2000+0j)
0.8469469469469469,(0.9090909090909091-0.0909090909090909j),(1434.638261885509+0j),(1.0733740907479234-0.10733740907479233j),(1693.8938938938938+0j),(1.2673451325578249-0.12673451325578247j),(2000+0j)
0.8476476476476477,(0.9090909090909091-0.09090909090909091j),(1437.0130691251811+0j),(1.0724867952076265-0.10724867952076264j),(1695.2952952952953+0j),(1.265250718484198-0.12652507184841977j),(2000+0j)
0.8483483483483484,(0.9090909090909092-0.09090909090909094j),(1439.3898402907412+0j),(1.0716009654062753-0.10716009654062751j),(1696.6966966966968+0j),(1.2631614919656267-0.12631614919656267j),(2000+0j)
0.8490490490490491,(0.9090909090909091-0.09090909090909093j),(1441.768575382189+0j),(1.0707165977149473-0.10707165977149473j),(1698.0980980980983+0j),(1.2610774358844987-0.12610774358844987j),(2000+0j)
0.8497497497497498,(0.9090909090909091-0.09090909090909091j),(1444.1492743995248+0j),(1.0698336885166901-0.106983368851669j),(1699.4994994994997+0j),(1.2589985331937488-0.1258998533193749j),(2000+0j)
0.8504504504504505,(0.9090909090909091-0.0909090909090909j),(1446.5319373427485+0j),(1.0689522342064712-0.10689522342064713j),(1700.900900900901+0j),(1.2569247669165073-0.12569247669165073j),(2000+0j)
0.8511511511511511,(0.9090909090909091-0.09090909090909088j),(1448.9165642118596+0j),(1.0680722311911306-0.10680722311911306j),(1702.3023023023022+0j),(1.2548561201457593-0.12548561201457592j),(2000+0j)
0.8518518518518519,(0.9090909090909091-0.0909090909090909j),(1451.3031550068588+0j),(1.0671936758893281-0.10671936758893281j),(1703.7037037037037+0j),(1.2527925760439937-0.12527925760439937j),(2000+0j)
0.8525525525525526,(0.9090909090909091-0.09090909090909091j),(1453.6917097277458+0j),(1.0663165647314996-0.10663165647314997j),(1705.1051051051052+0j),(1.2507341178428648-0.1250734117842865j),(2000+0j)
0.8532532532532533,(0.9090909090909092-0.09090909090909094j),(1456.0822283745208+0j),(1.0654408941598055-0.10654408941598054j),(1706.5065065065066+0j),(1.2486807288428503-0.12486807288428506j),(2000+0j)
0.853953953953954,(0.9090909090909092-0.09090909090909094j),(1458.4747109471837+0j),(1.0645666606280837-0.10645666606280837j),(1707.907907907908+0j),(1.2466323924129121-0.12466323924129123j),(2000+0j)
0.8546546546546547,(0.9090909090909091-0.0909090909090909j),(1460.8691574457341+0j),(1.0636938606018016-0.10636938606018016j),(1709.3093093093094+0j),(1.2445890919901612-0.12445890919901612j),(2000+0j)
0.8553553553553555,(0.9090909090909091-0.09090909090909091j),(1463.2655678701726+0j),(1.0628224905580084-0.10628224905580085j),(1710.7107107107108+0j),(1.2425508110795205-0.12425508110795205j),(2000+0j)
0.8560560560560561,(0.9090909090909091-0.0909090909090909j),(1465.663942220499+0j),(1.061952546985288-0.1061952546985288j),(1712.112112112112+0j),(1.2405175332533938-0.12405175332533937j),(2000+0j)
0.8567567567567568,(0.9090909090909091-0.09090909090909088j),(1468.064280496713+0j),(1.061084026383711-0.10610840263837108j),(1713.5135135135135+0j),(1.2384892421513343-0.12384892421513345j),(2000+0j)
0.8574574574574575,(0.9090909090909092-0.09090909090909093j),(1470.466582698815+0j),(1.060216925264789-0.1060216925264789j),(1714.914914914915+0j),(1.2364659214797151-0.1236465921479715j),(2000+0j)
0.8581581581581582,(0.9090909090909092-0.09090909090909091j),(1472.870848826805+0j),(1.0593512401514267-0.10593512401514267j),(1716.3163163163165+0j),(1.2344475550114022-0.12344475550114022j),(2000+0j)
0.8588588588588589,(0.9090909090909092-0.0909090909090909j),(1475.277078880683+0j),(1.0584869675778765-0.10584869675778769j),(1717.717717717718+0j),(1.2324341265854295-0.12324341265854295j),(2000+0j)
